Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4
2425,192,futtern,futtere,,futterst,,futtert,futterte,,gefuttert,,futterte,,futtere,,,futtert,,haben,,,,,,
2426,192,mithelfen,helfe mit,,hilfst mit,,hilft mit,half mit,,mitgeholfen,,hülfe mit,,hilf mit,,,helft mit,,haben,,,,,,
2427,191,bereichern,bereichere,,bereicherst,,bereichert,bereicherte,,bereichert,,bereicherte,,bereichere,,,bereichert,,haben,,,,,,
2428,190,delegieren,delegiere,,delegierst,,delegiert,delegierte,,delegiert,,delegierte,,delegiere,delegier,,delegiert,,haben,,,,,,
2429,190,verhöhnen,verhöhne,,verhöhnst,,verhöhnt,verhöhnte,,verhöhnt,,verhöhnte,,verhöhne,,,verhöhnt,,haben,,,,,,
2430,190,aufdrängen,dränge auf,,drängst auf,,drängt auf,drängte auf,,aufgedrängt,,drängte auf,,dränge auf,,,drängt auf,,haben,,,,,,
2431,190,bowlen,bowle,,bowlst,,bowlt,bowlte,,gebowlt,,bowlte,,bowl,,,bowlt,,haben,,"Bowlerbowling.JPG|200px|1|Mann, der ''bowlt''",,,,
2432,190,prallen,pralle,,prallst,,prallt,prallte,,geprallt,,prallte,,prall,,,prallt,,sein,haben,,,,,
2433,190,bewerfen,bewerfe,,bewirfst,,bewirft,bewarf,,beworfen,,bewürfe,,bewirf,,,bewerft,,haben,,,,,,
2434,189,kennzeichnen,kennzeichne,,kennzeichnest,,kennzeichnet,kennzeichnete,,gekennzeichnet,,kennzeichnete,,kennzeichne,,,kennzeichnet,,haben,,,,,,
2435,189,kränken,kränke,,kränkst,,kränkt,kränkte,,gekränkt,,kränkte,,kränk,kränke,,kränkt,,haben,,,,,,
2436,189,festmachen,mache fest,,machst fest,,macht fest,machte fest,,festgemacht,,machte fest,,mach fest,mache fest,,macht fest,,haben,,,,,,
2437,189,heuern,heuere,,heuerst,,heuert,heuerte,,geheuert,,heuerte,,heuer,heuere,,heuert,,haben,,,,,,
2438,189,weiterreden,rede weiter,,redest weiter,,redet weiter,redete weiter,,weitergeredet,,redete weiter,,red weiter,rede weiter,,redet weiter,,haben,,,,,,
2439,189,umbauen,baue um,,baust um,,baut um,baute um,,umgebaut,,baute um,,baue um,,,baut um,,haben,,,,,,
2440,188,wichsen,wichse,,wichst,,wichst,wichste,,gewichst,,wichste,,wichse,,,wichst,,haben,,,,,,
2441,188,dichten,dichte,,dichtest,,dichtet,dichtete,,gedichtet,,dichtete,,dichte,,,dichtet,,haben,,,,,,
2442,188,knirschen,knirsche,,knirschst,,knirscht,knirschte,,geknirscht,,knirschte,,knirsche,,,knirscht,,haben,,,,,,
2443,188,gabeln,gable,gabele,gabelst,,gabelt,gabelte,,gegabelt,,gabelte,,gable,gabele,,gabelt,,haben,,Haying.jpg|thumb|2|hier wird Heu ''gegabelt'',,,,
2444,188,verladen,verlade,,verlädst,,verlädt,verlud,,verladen,,verlüde,,verlad,verlade,,verladet,,haben,,,,,,
2445,188,mindern,mindere,,minderst,,mindert,minderte,,gemindert,,minderte,,mindere,,,mindert,,haben,,,,,,
2446,187,mähen,mähe,,mähst,,mäht,mähte,,gemäht,,mähte,,mähe,mäh,,mäht,,haben,,,,,,
2447,187,pochen,poche,,pochst,,pocht,pochte,,gepocht,,pochte,,poche,poch,,pocht,,haben,,,,,,
2448,187,rebellieren,rebelliere,,rebellierst,,rebelliert,rebellierte,,rebelliert,,rebellierte,,rebelliere,rebellier,,rebelliert,,haben,,,,,,
2449,186,verbarrikadieren,verbarrikadiere,,verbarrikadierst,,verbarrikadiert,verbarrikadierte,,verbarrikadiert,,verbarrikadierte,,verbarrikadier,verbarrikadiere,,verbarrikadiert,,haben,,,,,,
2450,186,abfüllen,fülle ab,füll ab,füllst ab,,füllt ab,füllte ab,,abgefüllt,,füllte ab,,füll ab,fülle ab,,füllt ab,,haben,,,,,,
2451,186,verstauchen,verstauche,,verstauchst,,verstaucht,verstauchte,,verstaucht,,verstauchte,,verstauch,verstauche,,verstaucht,,haben,,,,,,
2452,186,triumphieren,triumphiere,,triumphierst,,triumphiert,triumphierte,,triumphiert,,triumphierte,,triumphier,triumphiere,,triumphiert,,haben,,,20170218 Kerni 11.jpg|mini|2|das Team Hirscher ''triumphiert'' 2017 in St. Moritz,,,
2453,185,trügen,trüge,,trügst,,trügt,trog,,getrogen,,tröge,,trüg,trüge,,trügt,,haben,,,,,,
2454,185,totlachen,lache tot,,lachst tot,,lacht tot,lachte tot,,totgelacht,,lachte tot,,lach tot,lache tot,,lacht tot,,haben,,,,,,
2455,184,festsetzen,setze fest,,setzt fest,,setzt fest,setzte fest,,festgesetzt,,setzte fest,,setz fest,setze fest,,setzt fest,,haben,,,,,,
2456,184,einschläfern,schläfere ein,,schläferst ein,,schläfert ein,schläferte ein,,eingeschläfert,,schläferte ein,,schläfer ein,schläfere ein,,schläfert ein,,haben,,,,,,
2457,184,einfordern,fordere ein,,forderst ein,,fordert ein,forderte ein,,eingefordert,,forderte ein,,forder ein,fordere ein,,fordert ein,,haben,,,,,,
2458,184,verlagern,verlagere,,verlagerst,,verlagert,verlagerte,,verlagert,,verlagerte,,verlagere,,,verlagert,,haben,,,,,,
2459,183,veralten,veralte,,veraltest,,veraltet,veraltete,,veraltet,,veraltete,,veralte,,,veraltet,,sein,,,,,,
2460,183,fortschreiten,schreite fort,,schreitest fort,,schreitet fort,schritt fort,,fortgeschritten,,schritte fort,,schreite fort,,,schreitet fort,,sein,,,,,,
2461,183,dealen,deale,,dealst,,dealt,dealte,,gedealt,,dealte,,deale,deal,,dealt,,haben,,,,,,
2462,183,tendieren,tendiere,,tendierst,,tendiert,tendierte,,tendiert,,tendierte,,tendiere,tendier,,tendiert,,haben,,,,,,
2463,183,versklaven,versklave,,versklavst,,versklavt,versklavte,,versklavt,,versklavte,,versklave,,,versklavt,,haben,,,,,,
2464,183,beaufsichtigen,beaufsichtige,,beaufsichtigst,,beaufsichtigt,beaufsichtigte,,beaufsichtigt,,beaufsichtigte,,beaufsichtig,beaufsichtige,,beaufsichtigt,,haben,,,,,,
2465,183,überschwemmen,überschwemme,,überschwemmst,,überschwemmt,überschwemmte,,überschwemmt,,überschwemmte,,überschwemme,,,überschwemmt,,haben,,,Bratislavaminorflood.jpg|thumb|1|Das [[Hochwasser]] der [[Donau]] ''überschwemmt'' bereits den [[Uferweg]].,"Bern 2005, das Hochwasser (Altenberg Quartier).jpg|thumb|1|Ein über die [[Ufer]] [[treten|getretener]] [[Fluß]] ''überschwemmt'' in [[Bern]] [[Haus|Häuser]].",,
2466,182,quaken,quake,,quakst,,quakt,quakte,,gequakt,,quakte,,quake,quak,,quakt,,haben,,,,,,
2467,182,fechten,fechte,,fichtst,,ficht,focht,,gefochten,,föchte,,ficht,,,fechtet,,haben,,,Mensur - Dorpat 1820er Jahre.jpg|thumb|1|''fechten'',Le Pechoux v Meinhardt Master de fleuret 2014 t210013.jpg|thumb|1|[[zwei|Zwei]] [[Wettkämpfer]] ''fechten'' auf der [[Planche]].,,
2468,182,zappeln,zappele,,zappelst,,zappelt,zappelte,,gezappelt,,zappelte,,zappele,zappel,,zappelt,,haben,,,,,,
2469,182,schärfen,schärfe,,schärfst,,schärft,schärfte,,geschärft,,schärfte,,schärfe,schärf,,schärft,,haben,,,Sharpening Angle Guide.jpeg |thumb|1b|''schärfen'' eines [[Messer]]s auf einem [[Schleifstein]],Oficios - Trades.jpg|thumb|1b|eine [[Axt]] ''schärfen'',,
2470,181,genesen,genese,,genest,,genest,genas,,genesen,,genäse,,genese,,,genest,,sein,,,,,,
2471,181,statuieren,statuiere,,statuierst,,statuiert,statuierte,,statuiert,,statuierte,,statuiere,statuier,,statuiert,,haben,,,,,,
2472,181,schwirren,schwirre,,schwirrst,,schwirrt,schwirrte,,geschwirrt,,schwirrte,,schwirr,schwirre,,schwirrt,,sein,,,,,,
2473,181,verneigen,verneige,,verneigst,,verneigt,verneigte,,verneigt,,verneigte,,verneig,verneige,,verneigt,,haben,,,,,,
2474,180,fehlschlagen,—,,—,,schlägt fehl,schlug fehl,,fehlgeschlagen,,schlüge fehl,,—,,,—,,sein,,,,,,
2475,180,frittieren,frittiere,,frittierst,,frittiert,frittierte,,frittiert,,frittierte,,frittiere,frittier,,frittiert,,haben,,,,,,
2476,180,umsteigen,steige um,,steigst um,,steigt um,stieg um,,umgestiegen,,stiege um,,steig um,,,steigt um,,sein,,,,,,
2477,180,entwaffnen,entwaffne,,entwaffnest,,entwaffnet,entwaffnete,,entwaffnet,,entwaffnete,,entwaffne,,,entwaffnet,,haben,,,,,,
2478,180,faseln,fasele,fasle,faselst,,faselt,faselte,,gefaselt,,faselte,,fasel,,,faselt,,haben,,,,,,
2479,180,positionieren,positioniere,,positionierst,,positioniert,positionierte,,positioniert,,positionierte,,positionier,positioniere,,positioniert,,haben,,,,,,
2480,180,nachladen,lade nach,,lädst nach,,lädt nach,lud nach,,nachgeladen,,lüde nach,,lad nach,lade nach,,ladet nach,,haben,,,,,,
2481,180,verklingen,verklinge,,verklingst,,verklingt,verklang,,verklungen,,verklänge,,verklinge,verkling,,verklingt,,sein,,,,,,
2482,180,erblühen,erblühe,,erblühst,,erblüht,erblühte,,erblüht,,erblühte,,erblüh,erblühe,,erblüht,,sein,,,,,,
2483,179,salutieren,salutiere,,salutierst,,salutiert,salutierte,,salutiert,,salutierte,,salutier,salutiere,,salutiert,,haben,,Flickr - The U.S. Army - WWII veterans and Soldiers remember the Battle of the Bulge.jpg|thumb|1|[[fünf]] [[Soldat]]en ''salutieren'',,,,
2484,179,wiedererlangen,erlange wieder,,erlangst wieder,,erlangt wieder,erlangte wieder,,wiedererlangt,,erlangte wieder,,erlang wieder,erlange wieder,,erlangt wieder,,haben,,,,,,
2485,179,detonieren,detoniere,,detonierst,,detoniert,detonierte,,detoniert,,detonierte,,detoniere,detonier,,detoniert,,sein,,,,,,
2486,179,leidtun,tu leid,tue leid,tust leid,,tut leid,tat leid,,leidgetan,,täte leid,,tu leid,tue leid,,tut leid,,haben,,,,,,
2487,179,anbrennen,brenne an,,brennst an,,brennt an,brannte an,,angebrannt,,brennte an,,brenn an,brenne an,,brennt an,,haben,sein,,,,,
2488,179,bleichen,bleiche,,bleichst,,bleicht,bleichte,,gebleicht,,bleichte,,bleich,bleiche,,bleicht,,haben,,,,,,
2489,179,beglücken,beglücke,,beglückst,,beglückt,beglückte,,beglückt,,beglückte,,beglück,beglücke,,beglückt,,haben,,,,,,
2490,179,überbieten,überbiete,,überbietest,,überbietet,überbot,,überboten,,überböte,,überbiet,überbiete,,überbietet,,haben,,,,,,
2491,179,sterilisieren,sterilisiere,,sterilisierst,,sterilisiert,sterilisierte,,sterilisiert,,sterilisierte,,sterilisier,sterilisiere,,sterilisiert,,haben,,"A method for sterilizing 01.JPG|mini|1|eine alte Methode, um Instrumente zu ''sterilisieren''",,,,
2492,178,zwinkern,zwinkere,,zwinkerst,,zwinkert,zwinkerte,,gezwinkert,,zwinkerte,,zwinkere,,,zwinkert,,haben,,Eye opening and closing.gif|thumb|1|Ein ''zwinkerndes'' Auge (in Slow-motion),,,,
2493,178,ködern,ködere,,köderst,,ködert,köderte,,geködert,,köderte,,ködere,,,ködert,,haben,,,,,,
2494,178,knöpfen,knöpfe,,knöpfst,,knöpft,knöpfte,,geknöpft,,knöpfte,,knöpf,knöpfe,,knöpft,,haben,,,,,,
2495,178,ausdrucken,drucke aus,,druckst aus,,druckt aus,druckte aus,,ausgedruckt,,druckte aus,,druck aus,drucke aus,,druckt aus,,haben,,,,,,
2496,177,imponieren,imponiere,,imponierst,,imponiert,imponierte,,imponiert,,imponierte,,imponiere,imponier,,imponiert,,haben,,,,,,
2497,177,baumeln,baumle,,baumelst,,baumelt,baumelte,,gebaumelt,,baumelte,,baumle,,,baumelt,,haben,sein,,,,,
2498,177,zügeln,zügle,,zügelst,,zügelt,zügelte,,gezügelt,,zügelte,,zügle,,,zügelt,,haben,sein,,,,,
2499,177,wohlfühlen,fühle wohl,,fühlst wohl,,fühlt wohl,fühlte wohl,,wohlgefühlt,,fühlte wohl,,fühl wohl,fühle wohl,,fühlt wohl,,haben,,,,,,
2500,177,aufsitzen,sitze auf,,sitzt auf,,sitzt auf,saß auf,,aufgesessen,,säße auf,,sitz auf,,,sitzt auf,,haben,sein,,,,,
2501,177,letzen,letze,,letzt,,letzt,letzte,,geletzt,,letzte,,letz,letze,,letzt,,haben,,,,,,
2502,177,bekehren,bekehre,,bekehrst,,bekehrt,bekehrte,,bekehrt,,bekehrte,,bekehre,,,bekehrt,,haben,,,,,,
2503,176,ausmalen,male aus,,malst aus,,malt aus,malte aus,,ausgemalt,,malte aus,,mal aus,male aus,,malt aus,,haben,,,,,,
2504,176,anbaggern,bagger an,baggere an,baggerst an,,baggert an,baggerte an,,angebaggert,,baggerte an,,bagger an,baggere an,,baggert an,,haben,,,,,,
2505,176,verunglücken,verunglücke,,verunglückst,,verunglückt,verunglückte,,verunglückt,,verunglückte,,verunglück,verunglücke,,verunglückt,,sein,,,,,,
2506,175,annullieren,annulliere,,annullierst,,annulliert,annullierte,,annulliert,,annullierte,,annulliere,annullier,,annulliert,,haben,,,,,,
2507,175,überkommen,überkomme,,überkommst,,überkommt,überkam,,überkommen,,überkäme,,überkomme,,,überkommt,überkommet,haben,,,,,,
2508,175,aktualisieren,aktualisiere,,aktualisierst,,aktualisiert,aktualisierte,,aktualisiert,,aktualisierte,,aktualisiere,aktualisier,,aktualisiert,,haben,,,,,,
2509,175,lichten,lichte,,lichtest,,lichtet,lichtete,,gelichtet,,lichtete,,licht,lichte,,lichtet,,haben,,,,,,
2510,175,grübeln,grübele,grüble,grübelst,,grübelt,grübelte,,gegrübelt,,grübelte,,grübele,grüble,,grübelt,,haben,,,,,,
2511,175,nachtragen,trage nach,,trägst nach,,trägt nach,trug nach,,nachgetragen,,trüge nach,,trag nach,trage nach,,tragt nach,,haben,,,,,,
2512,174,abbezahlen,bezahle ab,,bezahlst ab,,bezahlt ab,bezahlte ab,,abbezahlt,,bezahlte ab,,bezahl ab,bezahle ab,,bezahlt ab,,haben,,,,,,
2513,174,verbleiben,verbleibe,,verbleibst,,verbleibt,verblieb,,verblieben,,verbliebe,,verbleibe,,,verbleibt,,sein,,,,,,
2514,174,rupfen,rupfe,,rupfst,,rupft,rupfte,,gerupft,,rupfte,,rupf,rupfe,,rupft,,haben,,Nicholas Maes- Woman Plucking a Duck-1656.jpg|mini|1|sie ''rupft'',,,,
2515,173,kommentieren,kommentiere,,kommentierst,,kommentiert,kommentierte,,kommentiert,,kommentierte,,kommentiere,kommentier,,kommentiert,,haben,,,,,,
2516,172,ergänzen,ergänze,,ergänzt,,ergänzt,ergänzte,,ergänzt,,ergänzte,,ergänze,,,ergänzt,,haben,,,,,,
2517,172,bolzen,bolze,,bolzt,,bolzt,bolzte,,gebolzt,,bolzte,,bolz,bolze,,bolzt,,haben,,,,,,
2518,172,beflecken,beflecke,,befleckst,,befleckt,befleckte,,befleckt,,befleckte,,befleck,beflecke,,befleckt,,haben,,,,,,
2519,172,zermalmen,zermalme,,zermalmst,,zermalmt,zermalmte,,zermalmt,,zermalmte,,zermalme,,,zermalmt,,haben,,,,,,
2520,172,vollstopfen,stopfe voll,,stopfst voll,,stopft voll,stopfte voll,,vollgestopft,,stopfte voll,,stopf voll,stopfe voll,,stopft voll,,haben,,,,,,
2521,172,vorweisen,weise vor,,weist vor,,weist vor,wies vor,,vorgewiesen,,wiese vor,,weis vor,weise vor,,weist vor,,haben,,,,,,
2522,171,verschanzen,verschanze,,verschanzt,,verschanzt,verschanzte,,verschanzt,,verschanzte,,verschanz,,,verschanzt,,haben,,,,,,
2523,171,haften,hafte,,haftest,,haftet,haftete,,gehaftet,,haftete,,haft,hafte,,haftet,,haben,,,,,,
2524,171,verfliegen,verfliege,,verfliegst,,verfliegt,verflog,,verflogen,,verflöge,,verflieg,verfliege,,verfliegt,,haben,sein,,,,,
2525,171,runterlassen,lasse runter,,lässt runter,,lässt runter,ließ runter,,runtergelassen,,ließe runter,,lass runter,lasse runter,,lasst runter,lasset runter,haben,,,,,,
2526,170,ausstrahlen,strahle aus,,strahlst aus,,strahlt aus,strahlte aus,,ausgestrahlt,,strahlte aus,,strahl aus,strahle aus,,strahlt aus,,haben,,,,,,
2527,170,managen,manage,,managst,,managt,managte,,gemanagt,,managte,,manage,,,managt,,haben,,,,,,
2528,170,konvertieren,konvertiere,,konvertierst,,konvertiert,konvertierte,,konvertiert,,konvertierte,,konvertiere,konvertier,,konvertiert,,haben,sein,,,,,
2529,170,einzahlen,zahle ein,,zahlst ein,,zahlt ein,zahlte ein,,eingezahlt,,zahlte ein,,zahl ein,zahle ein,,zahlt ein,,haben,,,,,,
2530,170,blinken,blinke,,blinkst,,blinkt,blinkte,,geblinkt,,blinkte,,blink,blinke,,blinkt,,haben,,"A blink program through LED.gif|thumb|1|eine [[LED]], die ''blinkt''",,,,
2531,170,kapern,kapere,,kaperst,,kapert,kaperte,,gekapert,,kaperte,,kapere,,,kapert,,haben,,Capture of Nereide.jpg|250px|1|Ein Schiff wird ''gekapert.'',,,,
2532,170,aufblasen,blase auf,,bläst auf,,bläst auf,blies auf,,aufgeblasen,,bliese auf,,blase auf,blas auf,,blast auf,,haben,,,,,,
2533,170,verwerfen,verwerfe,,verwirfst,,verwirft,verwarf,,verworfen,,verwürfe,,verwirf,,,verwerft,,haben,,,,,,
2534,170,lahmlegen,lege lahm,,legst lahm,,legt lahm,legte lahm,,lahmgelegt,,legte lahm,,leg lahm,lege lahm,,legt lahm,,haben,,,,,,
2535,170,fertigstellen,stelle fertig,,stellst fertig,,stellt fertig,stellte fertig,,fertiggestellt,,stellte fertig,,stell fertig,stelle fertig,,stellt fertig,,haben,,,,,,
2536,170,zerdrücken,zerdrücke,,zerdrückst,,zerdrückt,zerdrückte,,zerdrückt,,zerdrückte,,zerdrück,zerdrücke,,zerdrückt,,haben,,,,,,
2537,170,ausstoßen,stoße aus,,stößt aus,,stößt aus,stieß aus,,ausgestoßen,,stieße aus,,stoße aus,,,stoßt aus,,haben,,,,,,
2538,169,bereitstellen,stelle bereit,,stellst bereit,,stellt bereit,stellte bereit,,bereitgestellt,,stellte bereit,,stelle bereit,,,stellt bereit,,haben,,,,,,
2539,169,stampfen,stampfe,,stampfst,,stampft,stampfte,,gestampft,,stampfte,,stampf,,,stampft,,haben,,,,,,
2540,169,konsultieren,konsultiere,,konsultierst,,konsultiert,konsultierte,,konsultiert,,konsultierte,,konsultiere,konsultier,,konsultiert,,haben,,,,,,
2541,169,messern,messere,,messerst,,messert,messerte,,gemessert,,messerte,,messer,,,messert,,haben,,,,,,
2542,169,krabbeln,krabble,krabbele,krabbelst,,krabbelt,krabbelte,,gekrabbelt,,krabbelte,,krabble,krabbele,,krabbelt,,sein,haben,"Leyla 3455.jpg|250px|1|Ein Kleinkind, das ''krabbelt''",,,,
2543,169,demolieren,demoliere,,demolierst,,demoliert,demolierte,,demoliert,,demolierte,,demolier,demoliere,,demoliert,,haben,,,,,,
2544,169,entblößen,entblöße,,entblößt,,entblößt,entblößte,,entblößt,,entblößte,,entblöße,,,entblößt,,haben,,,,,,
2545,169,ausspannen,spanne aus,,spannst aus,,spannt aus,spannte aus,,ausgespannt,,spannte aus,,spannt aus,spanne aus,,spannt aus,,haben,,,,,,
2546,169,erhellen,erhelle,,erhellst,,erhellt,erhellte,,erhellt,,erhellte,,erhell,erhelle,,erhellt,,haben,,,,,,
2547,168,erlegen,erlege,,erlegst,,erlegt,erlegte,,erlegt,,erlegte,,erleg,erlege,,erlegt,,haben,,,,,,
2548,168,signieren,signiere,,signierst,,signiert,signierte,,signiert,,signierte,,signiere,signier,,signiert,,haben,,,,,,
2549,168,absolvieren,absolviere,,absolvierst,,absolviert,absolvierte,,absolviert,,absolvierte,,absolviere,absolvier,,absolviert,,haben,,,,,,
2550,168,herunterkommen,komme herunter,,kommst herunter,,kommt herunter,kam herunter,,heruntergekommen,,käme herunter,,komm herunter,,,kommt herunter,,sein,,,,,,
2551,168,auflesen,lese auf,,liest auf,,liest auf,las auf,,aufgelesen,,läse auf,,lies auf,,,lest auf,,haben,,"Bundesarchiv Bild 183-2005-0805-525, Berlin, Stoppeln von Möhren.jpg|mini|1|Im [[Berlin]] von 1947 ist man nach der [[Ernte]] nochmal über das [[Feld]] [[gehen|gegangen]] und hat die übriggebliebenen [[Möhre]]n ''aufgelesen:'' Eine [[Mahlzeit]] [[kommen|kam]] damit zusammen.",,,,
2552,167,nagen,nage,,nagst,,nagt,nagte,,genagt,,nagte,,nag,nage,,nagt,,haben,,,,,,
2553,167,orientieren,orientiere,,orientierst,,orientiert,orientierte,,orientiert,,orientierte,,orientiere,orientier,,orientiert,,haben,,,,,,
2554,167,schnuppern,schnuppere,,schnupperst,,schnuppert,schnupperte,,geschnuppert,,schnupperte,,schnupper,schnuppere,,schnuppert,,haben,,,,,,
2555,167,kämmen,kämme,,kämmst,,kämmt,kämmte,,gekämmt,,kämmte,,kämme,kämm,,kämmt,,haben,,Pierre-Auguste Renoir 072.jpg|150px|1|kämmen,,,,
2556,167,signalisieren,signalisiere,,signalisierst,,signalisiert,signalisierte,,signalisiert,,signalisierte,,signalisiere,signalisier,,signalisiert,,haben,,,,,,
2557,167,johlen,johle,,johlst,,johlt,johlte,,gejohlt,,johlte,,johl,johle,,johlt,,haben,,,,,,
2558,167,bändigen,bändige,,bändigst,,bändigt,bändigte,,gebändigt,,bändigte,,bändige,,,bändigt,,haben,,,,,,
2559,167,umschauen,schaue um,,schaust um,,schaut um,schaute um,,umgeschaut,,schaute um,,schau um,schaue um,,schaut um,,haben,,,,,,
2560,167,verdunkeln,verdunkle,,verdunkelst,,verdunkelt,verdunkelte,,verdunkelt,,verdunkelte,,verdunkle,,,verdunkelt,,haben,,,,,,
2561,167,pensionieren,pensioniere,,pensionierst,,pensioniert,pensionierte,,pensioniert,,pensionierte,,pensionier,pensioniere,,pensioniert,,haben,,,,,,
2562,166,besinnen,besinne,,besinnst,,besinnt,besann,,besonnen,,besänne,besönne,besinn,,,besinnt,,haben,,,,,,
2563,166,nachschlagen,schlage nach,,schlägst nach,,schlägt nach,schlug nach,,nachgeschlagen,,schlüge nach,,schlag nach,,,schlagt nach,,haben,,,,,,
2564,166,rösten,röste,,röstest,,röstet,röstete,,geröstet,,röstete,,röst,röste,,röstet,,haben,,,,,,
2565,166,weglegen,lege weg,,legst weg,,legt weg,legte weg,,weggelegt,,legte weg,,leg weg,lege weg,,legt weg,,haben,,,,,,
2566,166,fremdgehen,gehe fremd,,gehst fremd,,geht fremd,ging fremd,,fremdgegangen,,ginge fremd,,gehe fremd,,,geht fremd,,sein,,,,,,
2567,166,linsen,linse,,linst,,linst,linste,,gelinst,,linste,,lins,linse,,linst,,haben,,US Navy 080818-N-3595W-080 A Nicaraguan child peeks through a bench watching for her mother at the medical clinic during Continuing Promise (CP) 2008.jpg|thumb|1|Ein [[Kind]] ''linst'' durch [[zwei]] [[Holzbrett]]er.,,,,
2568,166,missverstehen,missverstehe,,missverstehst,,missversteht,missverstand,,missverstanden,,missverstände,missverstünde,missversteh,missverstehe,,missversteht,,haben,,,,,,
2569,165,entfesseln,entfessele,entfessle,entfesselst,,entfesselt,entfesselte,,entfesselt,,entfesselte,,entfessele,,,entfesselt,,haben,,,,,,
2570,164,auftanken,tanke auf,,tankst auf,,tankt auf,tankte auf,,aufgetankt,,tankte auf,,tank auf,tanke auf,,tankt auf,,haben,,,,,,
2571,164,entflohen,entflohe,,entflohst,,entfloht,entflohte,,entfloht,,entflohte,,entfloh,entflohe,,entfloht,,haben,,,,,,
2572,163,verweilen,verweile,,verweilst,,verweilt,verweilte,,verweilt,,verweilte,,verweile,verweil,,verweilt,,haben,,,,,,
2573,163,vereiteln,vereitle,,vereitelst,,vereitelt,vereitelte,,vereitelt,,vereitelte,,vereitle,,,vereitelt,,haben,,,,,,
2574,163,erarbeiten,erarbeite,,erarbeitest,,erarbeitet,erarbeitete,,erarbeitet,,erarbeitete,,erarbeit,erarbeite,,erarbeitet,,haben,,,,,,
2575,162,blättern,blättere,,blätterst,,blättert,blätterte,,geblättert,,blätterte,,blättere,blätter,,blättert,,haben,,,,,,
2576,162,tilgen,tilge,,tilgst,,tilgt,tilgte,,getilgt,,tilgte,,tilg,tilge,,tilgt,,haben,,,,,,
2577,162,feststecken,stecke fest,,steckst fest,,steckt fest,steckte fest,,festgesteckt,,steckte fest,,steck fest,stecke fest,,steckt fest,,haben,,,,,,
2578,162,auflisten,liste auf,,listest auf,,listet auf,listete auf,,aufgelistet,,listete auf,,list auf,liste auf,,listet auf,,haben,,,,,,
2579,161,konkurrieren,konkurriere,,konkurrierst,,konkurriert,konkurrierte,,konkurriert,,konkurrierte,,konkurriere,konkurrier,,konkurriert,,haben,,,,,,
2580,161,nachhelfen,helfe nach,,hilfst nach,,hilft nach,half nach,,nachgeholfen,,hülfe nach,,hilf nach,,,helft nach,,haben,,,,,,
2581,161,rehabilitieren,rehabilitiere,,rehabilitierst,,rehabilitiert,rehabilitierte,,rehabilitiert,,rehabilitierte,,rehabilitiere,rehabilitier,,rehabilitiert,,haben,,,,,,
2582,161,überlaufen,laufe über,,läufst über,,läuft über,lief über,,übergelaufen,,liefe über,,lauf über,laufe über,,lauft über,,sein,,,,,,
2583,161,aufzwingen,zwinge auf,,zwingst auf,,zwingt auf,zwang auf,,aufgezwungen,,zwänge auf,,zwinge auf,,,zwingt auf,,haben,,,,,,
2584,161,desinfizieren,desinfiziere,,desinfizierst,,desinfiziert,desinfizierte,,desinfiziert,,desinfizierte,,desinfizier,desinfiziere,,desinfiziert,,haben,,Desinfection during bone marrow donation.jpg|thumb|1|der [[Rücken]] eines [[Patient]]en wird mit [[Jod]] ''desinfiziert'',,,,
2585,161,verkrüppeln,verkrüppele,,verkrüppelst,,verkrüppelt,verkrüppelte,,verkrüppelt,,verkrüppelte,,verkrüppel,verkrüppele,,verkrüppelt,,haben,sein,,,,,
2586,161,zerkratzen,zerkratze,,zerkratzt,,zerkratzt,zerkratzte,,zerkratzt,,zerkratzte,,zerkratz,zerkratze,,zerkratzt,,haben,,,,,,
2587,160,poppen,poppe,,poppst,,poppt,poppte,,gepoppt,,poppte,,poppe,,,poppt,,haben,,,,,,
2588,160,verknüpfen,verknüpfe,,verknüpfst,,verknüpft,verknüpfte,,verknüpft,,verknüpfte,,verknüpfe,verknüpf,,verknüpft,,haben,,,,,,
2589,160,schnattern,schnattere,,schnatterst,,schnattert,schnatterte,,geschnattert,,schnatterte,,schnatter,schnattere,,schnattert,,haben,,,,,,
2590,160,verwahren,verwahre,,verwahrst,,verwahrt,verwahrte,,verwahrt,,verwahrte,,verwahr,verwahre,,verwahrt,,haben,,,,,,
2591,159,rinnen,rinne,,rinnst,,rinnt,rann,,geronnen,,ränne,rönne,rinn,rinne,,rinnt,,sein,,,,,,
2592,159,ausstrecken,strecke aus,,streckst aus,,streckt aus,streckte aus,,ausgestreckt,,streckte aus,,streck aus,strecke aus,,streckt aus,,haben,,,,,,
2593,159,wegmachen,mache weg,,machst weg,,macht weg,machte weg,,weggemacht,,machte weg,,mach weg,mache weg,,macht weg,,haben,,,,,,
2594,159,ergründen,ergründe,,ergründest,,ergründet,ergründete,,ergründet,,ergründete,,ergründe,,,ergründet,,haben,,,,,,
